"ID","Registry name","Spawns"
59,"still_life:desert_river","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:water_buffalo [weight: 3, min: 2, max: 3] }; { naturalist:coral_snake [weight: 10, min: 1, max: 1] }; { naturalist:duck [weight: 10, min: 1, max: 3] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { wildernature:pelican [weight: 7, min: 3, max: 5] }; { crittersandcompanions:dragonfly [weight: 7, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { crittersandcompanions:otter [weight: 1, min: 3, max: 5] }; { crittersandcompanions:koi_fish [weight: 4, min: 2, max: 5] }; { fetzisasiandeco:koi [weight: 5, min: 2, max: 5] }; { naturalist:bass [weight: 10, min: 4, max: 4] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { hybrid-aquatic:carp [weight: 3, min: 0, max: 2] }; { hybrid-aquatic:danio [weight: 3, min: 2, max: 3] }; { hybrid-aquatic:discus [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:golden_dorado [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:golden_dorado [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:gourami [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:oscar [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:piranha [weight: 2, min: 4, max: 8] }; { hybrid-aquatic:shiner [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:sunfish [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:tetra [weight: 3, min: 2, max: 3] }; { hybrid-aquatic:tiger_barb [weight: 3, min: 2, max: 3] }; { hybrid-aquatic:trout [weight: 2, min: 0, max: 1] }; { hybrid-aquatic:crayfish [weight: 2, min: 1, max: 2] }; { hybrid-aquatic:vampire_crab [weight: 1, min: 1, max: 2] }; { hybrid-aquatic:otter [weight: 1, min: 0, max: 2] }; { untitledduckmod:duck [weight: 6, min: 2, max: 4] }; { untitledduckmod:goose [weight: 4, min: 2, max: 4] }"
60,"still_life:desert_wetlands","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:swamp_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:swamp_enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 3, min: 4, max: 4] }; { minecraft:cow [weight: 2, min: 4, max: 4] }; { minecraft:donkey [weight: 0, min: 1, max: 1] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 2, min: 4, max: 4] }; { minecraft:rabbit [weight: 3, min: 1, max: 2] }; { minecraft:sheep [weight: 0, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
61,"betterend:dragon_graveyards","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 50, min: 1, max: 2] }"
62,"minecraft:dripstone_caves","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:dripstone_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { minecraft:drowned [weight: 95, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { hybrid-aquatic:tetra [weight: 3, min: 2, max: 3] }"
63,"still_life:dry_cold_steppe","{ endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:snowy_enderman [weight: 10, min: 1, max: 4] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 0, min: 4, max: 4] }; { minecraft:cow [weight: 10, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 1] }; { minecraft:horse [weight: 3, min: 2, max: 5] }; { minecraft:pig [weight: 0, min: 4, max: 4] }; { minecraft:sheep [weight: 0, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
64,"betterend:dry_shrubland","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 50, min: 1, max: 2] }"
65,"still_life:dry_tropical_highlands","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:hills_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 1, min: 4, max: 4] }; { minecraft:pig [weight: 4, min: 4, max: 4] }; { minecraft:sheep [weight: 0, min: 4, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:canary [weight: 10, min: 1, max: 4] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
66,"betterend:dust_wastelands","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 50, min: 1, max: 2] }"
67,"betterend:empty_aurora_cave","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }"
68,"betterend:empty_end_cave","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }"
69,"betterend:empty_smaragdant_cave","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }"
70,"minecraft:end_barrens","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { minecraft:enderman [weight: 10, min: 4, max: 4] }"
71,"minecraft:end_highlands","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 4, max: 4] }"
72,"minecraft:end_midlands","{ endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 4, max: 4] }"
73,"minecraft:eroded_badlands","{ creeperoverhaul:badlands_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:badlands_enderman [weight: 10, min: 1, max: 4] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { friendsandfoes:mauler [weight: 16, min: 1, max: 1] }; { naturalist:rattlesnake [weight: 10, min: 1, max: 1] }; { naturalist:vulture [weight: 3, min: 2, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { hybrid-aquatic:pupfish [weight: 1, min: 0, max: 1] }"
74,"still_life:evergreen_taiga","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:spruce_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 2, min: 4, max: 4] }; { minecraft:cow [weight: 0, min: 4, max: 4] }; { minecraft:fox [weight: 3, min: 1, max: 3] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 0, min: 4, max: 4] }; { minecraft:wolf [weight: 8, min: 2, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:bluejay [weight: 10, min: 1, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
75,"still_life:fen","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:swamp_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:swamp_enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 120, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:frog [weight: 6, min: 2, max: 3] }; { naturalist:alligator [weight: 10, min: 1, max: 2] }; { naturalist:cardinal [weight: 10, min: 1, max: 4] }; { naturalist:duck [weight: 10, min: 1, max: 3] }; { naturalist:lizard [weight: 10, min: 1, max: 2] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { naturalist:tortoise [weight: 10, min: 1, max: 3] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { naturalist:butterfly [weight: 10, min: 3, max: 5] }; { naturalist:dragonfly [weight: 10, min: 2, max: 3] }; { naturalist:firefly [weight: 10, min: 2, max: 3] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { naturalist:bass [weight: 10, min: 4, max: 4] }; { naturalist:catfish [weight: 10, min: 1, max: 1] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { untitledduckmod:duck [weight: 6, min: 2, max: 4] }"
76,"betternether:flooded_deltas","{ betternether:jungle_skeleton [weight: 0, min: 2, max: 4] }; { betternether:naga [weight: 8, min: 3, max: 5] }; { betternether:skull [weight: 2, min: 2, max: 4] }; { minecraft:enderman [weight: 1, min: 4, max: 4] }; { minecraft:ghast [weight: 50, min: 4, max: 4] }; { minecraft:hoglin [weight: 0, min: 1, max: 2] }; { minecraft:magma_cube [weight: 2, min: 4, max: 4] }; { minecraft:piglin [weight: 15, min: 4, max: 4] }; { minecraft:piglin_brute [weight: 0, min: 1, max: 1] }; { minecraft:zombified_piglin [weight: 100, min: 4, max: 4] }; { minecraft:strider [weight: 60, min: 1, max: 2] }; { betternether:firefly [weight: 5, min: 1, max: 3] }; { betternether:flying_pig [weight: 0, min: 2, max: 4] }; { betternether:hydrogen_jellyfish [weight: 5, min: 2, max: 6] }"
77,"still_life:flooded_grasslands","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:swamp_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { crittersandcompanions:ferret [weight: 4, min: 2, max: 3] }; { minecraft:cow [weight: 6, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 2] }; { minecraft:frog [weight: 6, min: 2, max: 3] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 0, min: 4, max: 4] }; { minecraft:sheep [weight: 1, min: 4, max: 4] }; { naturalist:deer [weight: 10, min: 1, max: 3] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { naturalist:sparrow [weight: 10, min: 1, max: 4] }; { wildernature:bison [weight: 14, min: 3, max: 6] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { naturalist:butterfly [weight: 10, min: 3, max: 5] }; { naturalist:firefly [weight: 10, min: 2, max: 3] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { untitledduckmod:goose [weight: 4, min: 2, max: 4] }"
78,"still_life:flooded_savanna","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:savannah_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:swamp_creeper [weight: 75, min: 2, max: 2] }; { endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:savanna_enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { friendsandfoes:mauler [weight: 32, min: 1, max: 1] }; { hybrid-birds:guinea_fowl [weight: 3, min: 1, max: 3] }; { meadow:water_buffalo [weight: 3, min: 2, max: 3] }; { minecraft:donkey [weight: 0, min: 1, max: 1] }; { minecraft:frog [weight: 8, min: 2, max: 3] }; { minecraft:horse [weight: 0, min: 2, max: 6] }; { naturalist:boar [weight: 10, min: 4, max: 4] }; { naturalist:cardinal [weight: 10, min: 1, max: 4] }; { naturalist:elephant [weight: 5, min: 2, max: 3] }; { naturalist:finch [weight: 10, min: 1, max: 4] }; { naturalist:giraffe [weight: 5, min: 2, max: 4] }; { naturalist:hippo [weight: 10, min: 3, max: 4] }; { naturalist:lion [weight: 3, min: 3, max: 5] }; { naturalist:lizard [weight: 10, min: 1, max: 2] }; { naturalist:rattlesnake [weight: 10, min: 1, max: 1] }; { naturalist:rhino [weight: 1, min: 1, max: 3] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { naturalist:vulture [weight: 3, min: 2, max: 4] }; { naturalist:zebra [weight: 1, min: 2, max: 3] }; { wildernature:bison [weight: 14, min: 3, max: 6] }; { wildernature:boar [weight: 14, min: 4, max: 5] }; { wildernature:cassowary [weight: 7, min: 3, max: 5] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
79,"minecraft:flower_forest","{ endermanoverhaul:cave_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:flower_fields_enderman [weight: 5, min: 1, max: 2] }; { minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { crittersandcompanions:ferret [weight: 4, min: 2, max: 3] }; { crittersandcompanions:jumping_spider [weight: 2, min: 1, max: 1] }; { friendsandfoes:moobloom [weight: 4, min: 2, max: 4] }; { hybrid-birds:rooster [weight: 5, min: 1, max: 2] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 10, min: 2, max: 4] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { minecraft:rabbit [weight: 4, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:boar [weight: 10, min: 4, max: 4] }; { naturalist:cardinal [weight: 10, min: 1, max: 4] }; { naturalist:deer [weight: 10, min: 1, max: 3] }; { naturalist:finch [weight: 10, min: 1, max: 4] }; { naturalist:lizard [weight: 10, min: 1, max: 2] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { wildernature:boar [weight: 14, min: 4, max: 5] }; { wildernature:deer [weight: 13, min: 2, max: 4] }; { wildernature:hedgehog [weight: 13, min: 1, max: 3] }; { wildernature:owl [weight: 12, min: 2, max: 3] }; { wildernature:squirrel [weight: 10, min: 2, max: 2] }; { wildernature:turkey [weight: 12, min: 3, max: 5] }; { crittersandcompanions:leaf_insect [weight: 14, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { naturalist:butterfly [weight: 10, min: 3, max: 5] }; { naturalist:firefly [weight: 10, min: 2, max: 3] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
80,"betterend:foggy_mushroomland","{ betterend:end_slime [weight: 10, min: 1, max: 2] }; { endermanoverhaul:end_enderman [weight: 2, min: 1, max: 2] }; { endermanoverhaul:end_islands_enderman [weight: 1, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 2] }; { betterend:dragonfly [weight: 80, min: 2, max: 5] }; { betterend:cubozoa [weight: 10, min: 3, max: 8] }; { betterend:end_fish [weight: 20, min: 2, max: 5] }"
81,"minecraft:forest","{ minecraft:creeper [weight: 100, min: 4, max: 4] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { crittersandcompanions:ferret [weight: 4, min: 2, max: 3] }; { crittersandcompanions:jumping_spider [weight: 2, min: 1, max: 1] }; { hybrid-birds:rooster [weight: 5, min: 1, max: 2] }; { hybrid-birds:turkey [weight: 3, min: 1, max: 3] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:fox [weight: 10, min: 2, max: 4] }; { minecraft:rabbit [weight: 10, min: 2, max: 3] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:wolf [weight: 5, min: 4, max: 4] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:boar [weight: 10, min: 4, max: 4] }; { naturalist:cardinal [weight: 10, min: 1, max: 4] }; { naturalist:deer [weight: 10, min: 1, max: 3] }; { naturalist:finch [weight: 10, min: 1, max: 4] }; { naturalist:lizard [weight: 10, min: 1, max: 2] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { naturalist:snake [weight: 10, min: 1, max: 1] }; { wildernature:boar [weight: 14, min: 4, max: 5] }; { wildernature:deer [weight: 13, min: 2, max: 4] }; { wildernature:hedgehog [weight: 13, min: 1, max: 3] }; { wildernature:owl [weight: 12, min: 2, max: 3] }; { wildernature:squirrel [weight: 10, min: 2, max: 2] }; { wildernature:turkey [weight: 12, min: 3, max: 5] }; { crittersandcompanions:leaf_insect [weight: 14, min: 1, max: 1] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { naturalist:butterfly [weight: 10, min: 3, max: 5] }; { naturalist:firefly [weight: 10, min: 2, max: 3] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
82,"still_life:frozen_caves","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:snowy_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 10, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:stray [weight: 90, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 80, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { minecraft:chicken [weight: 10, min: 4, max: 4] }; { minecraft:cow [weight: 8, min: 4, max: 4] }; { minecraft:donkey [weight: 1, min: 1, max: 1] }; { minecraft:horse [weight: 1, min: 2, max: 6] }; { minecraft:pig [weight: 10, min: 4, max: 4] }; { minecraft:sheep [weight: 12, min: 4, max: 4] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
83,"minecraft:frozen_ocean","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:snowy_creeper [weight: 75, min: 2, max: 2] }; { minecraft:drowned [weight: 5, min: 1, max: 1] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { ecologics:penguin [weight: 2, min: 4, max: 5] }; { minecraft:polar_bear [weight: 1, min: 1, max: 2] }; { wildernature:penguin [weight: 11, min: 4, max: 6] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { minecraft:squid [weight: 1, min: 1, max: 4] }; { minecraft:salmon [weight: 15, min: 1, max: 5] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }; { hybrid-aquatic:sea_angel [weight: 1, min: 1, max: 2] }; { hybrid-aquatic:arrow_squid [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:lions_mane_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:nomura_jellyfish [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:basking_shark [weight: 1, min: 1, max: 1] }; { hybrid-aquatic:sea_cucumber [weight: 3, min: 1, max: 2] }; { hybrid-aquatic:sea_urchin [weight: 3, min: 0, max: 2] }; { hybrid-aquatic:starfish [weight: 2, min: 0, max: 2] }"
84,"minecraft:frozen_peaks","{ creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:cave_creeper [weight: 75, min: 2, max: 2] }; { creeperoverhaul:snowy_creeper [weight: 75, min: 2, max: 2] }; { minecraft:enderman [weight: 10, min: 1, max: 4] }; { minecraft:skeleton [weight: 100, min: 4, max: 4] }; { minecraft:slime [weight: 100, min: 4, max: 4] }; { minecraft:spider [weight: 100, min: 4, max: 4] }; { minecraft:witch [weight: 5, min: 1, max: 1] }; { minecraft:zombie [weight: 95, min: 4, max: 4] }; { minecraft:zombie_villager [weight: 5, min: 1, max: 1] }; { meadow:wooly_sheep [weight: 10, min: 2, max: 3] }; { minecraft:goat [weight: 5, min: 1, max: 3] }; { minecraft:sheep [weight: 6, min: 2, max: 3] }; { naturalist:bear [weight: 10, min: 1, max: 2] }; { naturalist:bluejay [weight: 10, min: 1, max: 4] }; { naturalist:canary [weight: 10, min: 1, max: 4] }; { naturalist:robin [weight: 10, min: 1, max: 4] }; { naturalist:snail [weight: 10, min: 1, max: 3] }; { wildernature:minisheep [weight: 13, min: 3, max: 6] }; { minecraft:bat [weight: 10, min: 8, max: 8] }; { minecraft:glow_squid [weight: 10, min: 4, max: 6] }; { friendsandfoes:rascal [weight: 4, min: 1, max: 1] }"
