"Registry name","Map color (hex)","Map color (int)"
"camping:tent_head_blue","#993333","10040115"
"camping:tent_head_brown","#993333","10040115"
"camping:tent_head_cyan","#993333","10040115"
"camping:tent_head_gray","#993333","10040115"
"camping:tent_head_green","#993333","10040115"
"camping:tent_head_light_blue","#993333","10040115"
"camping:tent_head_light_gray","#993333","10040115"
"camping:tent_head_lime","#993333","10040115"
"camping:tent_head_magenta","#993333","10040115"
"camping:tent_head_orange","#993333","10040115"
"camping:tent_head_pink","#993333","10040115"
"camping:tent_head_purple","#993333","10040115"
"camping:tent_head_red","#993333","10040115"
"camping:tent_head_right_black","#993333","10040115"
"camping:tent_head_right_blue","#993333","10040115"
"camping:tent_head_right_brown","#993333","10040115"
"camping:tent_head_right_cyan","#993333","10040115"
"camping:tent_head_right_gray","#993333","10040115"
"camping:tent_head_right_green","#993333","10040115"
"camping:tent_head_right_light_blue","#993333","10040115"
"camping:tent_head_right_light_gray","#993333","10040115"
"camping:tent_head_right_lime","#993333","10040115"
"camping:tent_head_right_magenta","#993333","10040115"
"camping:tent_head_right_orange","#993333","10040115"
"camping:tent_head_right_pink","#993333","10040115"
"camping:tent_head_right_purple","#993333","10040115"
"camping:tent_head_right_red","#993333","10040115"
"camping:tent_head_right_white","#993333","10040115"
"camping:tent_head_right_yellow","#993333","10040115"
"camping:tent_head_white","#993333","10040115"
"camping:tent_head_yellow","#993333","10040115"
"camping:tent_light_blue","#993333","10040115"
"camping:tent_light_gray","#993333","10040115"
"camping:tent_lime","#993333","10040115"
"camping:tent_magenta","#993333","10040115"
"camping:tent_orange","#993333","10040115"
"camping:tent_pink","#993333","10040115"
"camping:tent_purple","#993333","10040115"
"camping:tent_red","#993333","10040115"
"camping:tent_right_black","#993333","10040115"
"camping:tent_right_blue","#993333","10040115"
"camping:tent_right_brown","#993333","10040115"
"camping:tent_right_cyan","#993333","10040115"
"camping:tent_right_gray","#993333","10040115"
"camping:tent_right_green","#993333","10040115"
"camping:tent_right_light_blue","#993333","10040115"
"camping:tent_right_light_gray","#993333","10040115"
"camping:tent_right_lime","#993333","10040115"
"camping:tent_right_magenta","#993333","10040115"
"camping:tent_right_orange","#993333","10040115"
"camping:tent_right_pink","#993333","10040115"
"camping:tent_right_purple","#993333","10040115"
"camping:tent_right_red","#993333","10040115"
"camping:tent_right_white","#993333","10040115"
"camping:tent_right_yellow","#993333","10040115"
"camping:tent_white","#993333","10040115"
"camping:tent_yellow","#993333","10040115"
"camping:wanderer_backpack","#8F7748","9402184"
"camping:wanderer_bag","#8F7748","9402184"
"candlelight:acacia_big_table","#707070","7368816"
"candlelight:acacia_cabinet","#8F7748","9402184"
"candlelight:acacia_chair","#8F7748","9402184"
"candlelight:acacia_drawer","#8F7748","9402184"
"candlelight:acacia_shelf","#8F7748","9402184"
"candlelight:acacia_table","#D87F33","14188339"
"candlelight:bamboo_big_table","#E5E533","15066419"
"candlelight:bamboo_cabinet","#E5E533","15066419"
"candlelight:bamboo_chair","#E5E533","15066419"
"candlelight:bamboo_counter","#E5E533","15066419"
"candlelight:bamboo_drawer","#E5E533","15066419"
"candlelight:bamboo_kitchen_sink","#E5E533","15066419"
"candlelight:bamboo_shelf","#E5E533","15066419"
"candlelight:bamboo_stove","#E5E533","15066419"
"candlelight:bamboo_table","#E5E533","15066419"
"candlelight:basalt_counter","#191919","1644825"
"candlelight:basalt_kitchen_sink","#191919","1644825"
"candlelight:basalt_stove","#191919","1644825"
"candlelight:beef_wellington_block","#000000","0"
"candlelight:birch_big_table","#707070","7368816"
"candlelight:birch_cabinet","#8F7748","9402184"
"candlelight:birch_chair","#8F7748","9402184"
"candlelight:birch_drawer","#8F7748","9402184"
"candlelight:birch_shelf","#8F7748","9402184"
"candlelight:birch_table","#8F7748","9402184"
"candlelight:cabinet","#8F7748","9402184"
"candlelight:candlelight_banner","#000000","0"
"candlelight:candlelight_wall_banner","#000000","0"
"candlelight:chair","#8F7748","9402184"
"candlelight:cherry_big_table","#D1B1A1","13742497"
"candlelight:cherry_cabinet","#D1B1A1","13742497"
"candlelight:cherry_chair","#D1B1A1","13742497"
"candlelight:cherry_drawer","#D1B1A1","13742497"
"candlelight:cherry_shelf","#D1B1A1","13742497"
"candlelight:cherry_table","#D1B1A1","13742497"
"candlelight:chocolate_box","#000000","0"
"candlelight:cobblestone_counter","#707070","7368816"
"candlelight:cobblestone_kitchen_sink","#707070","7368816"
"candlelight:cobblestone_stove","#993333","10040115"
"candlelight:cooking_pan","#A7A7A7","10987431"
"candlelight:cooking_pot","#A7A7A7","10987431"
"candlelight:crimson_big_table","#707070","7368816"
"candlelight:crimson_cabinet","#8F7748","9402184"
"candlelight:crimson_chair","#8F7748","9402184"
"candlelight:crimson_drawer","#8F7748","9402184"
"candlelight:crimson_shelf","#8F7748","9402184"
"candlelight:crimson_table","#8F7748","9402184"
"candlelight:dark_oak_big_table","#707070","7368816"
"candlelight:dark_oak_cabinet","#8F7748","9402184"
"candlelight:dark_oak_chair","#8F7748","9402184"
"candlelight:dark_oak_drawer","#8F7748","9402184"
"candlelight:dark_oak_shelf","#8F7748","9402184"
"candlelight:dark_oak_table","#D87F33","14188339"
"candlelight:deepslate_counter","#707070","7368816"
"candlelight:deepslate_kitchen_sink","#707070","7368816"
"candlelight:deepslate_stove","#993333","10040115"
"candlelight:dinner_bell","#A7A7A7","10987431"
"candlelight:drawer","#8F7748","9402184"
"candlelight:end_counter","#707070","7368816"
"candlelight:end_kitchen_sink","#707070","7368816"
"candlelight:end_stove","#993333","10040115"
"candlelight:floorboard","#8F7748","9402184"
"candlelight:fresh_garden_salad_block","#000000","0"
"candlelight:glass","#000000","0"
"candlelight:granite_counter","#707070","7368816"
"candlelight:granite_kitchen_sink","#707070","7368816"
"candlelight:granite_stove","#993333","10040115"
"candlelight:hearth","#000000","0"
"candlelight:jewelry_box","#000000","0"
"candlelight:jungle_big_table","#707070","7368816"
"candlelight:jungle_cabinet","#8F7748","9402184"
"candlelight:jungle_chair","#8F7748","9402184"
"candlelight:jungle_drawer","#8F7748","9402184"
"candlelight:jungle_shelf","#8F7748","9402184"
"candlelight:jungle_table","#8F7748","9402184"
"candlelight:lamp","#A7A7A7","10987431"
"candlelight:lasagne_block","#000000","0"
"candlelight:mangrove_big_table","#707070","7368816"
"candlelight:mangrove_cabinet","#8F7748","9402184"
"candlelight:mangrove_chair","#8F7748","9402184"
"candlelight:mangrove_drawer","#8F7748","9402184"
"candlelight:mangrove_shelf","#8F7748","9402184"
"candlelight:mangrove_table","#8F7748","9402184"
"candlelight:mud_counter","#707070","7368816"
"candlelight:mud_kitchen_sink","#707070","7368816"
"candlelight:mud_stove","#993333","10040115"
"candlelight:note_paper","#667F33","6717235"
"candlelight:oak_big_table","#707070","7368816"
"candlelight:oak_cabinet","#8F7748","9402184"
"candlelight:oak_chair","#8F7748","9402184"
"candlelight:oak_drawer","#8F7748","9402184"
"candlelight:oak_shelf","#8F7748","9402184"
"candlelight:oak_table","#8F7748","9402184"
"candlelight:painting","#000000","0"
"candlelight:pork_ribs_block","#000000","0"
"candlelight:potted_rose","#000000","0"
"candlelight:quartz_counter","#707070","7368816"
"candlelight:quartz_kitchen_sink","#707070","7368816"
"candlelight:quartz_stove","#993333","10040115"
"candlelight:red_nether_bricks_counter","#707070","7368816"
"candlelight:red_nether_bricks_kitchen_sink","#707070","7368816"
"candlelight:red_nether_bricks_stove","#993333","10040115"
"candlelight:rose","#007C00","31744"
"candlelight:sandstone_counter","#707070","7368816"
"candlelight:sandstone_kitchen_sink","#707070","7368816"
"candlelight:sandstone_stove","#993333","10040115"
"candlelight:side_table","#8F7748","9402184"
"candlelight:sideboard","#8F7748","9402184"
"candlelight:sofa","#8F7748","9402184"
"candlelight:spruce_big_table","#707070","7368816"
"candlelight:spruce_cabinet","#8F7748","9402184"
"candlelight:spruce_chair","#8F7748","9402184"
"candlelight:spruce_drawer","#8F7748","9402184"
"candlelight:spruce_shelf","#8F7748","9402184"
"candlelight:spruce_table","#8F7748","9402184"
"candlelight:stone_bricks_counter","#707070","7368816"
"candlelight:stone_bricks_kitchen_sink","#707070","7368816"
"candlelight:stone_bricks_stove","#993333","10040115"
"candlelight:table","#8F7748","9402184"
"candlelight:table_set","#000000","0"
"candlelight:table_sign","#000000","0"
"candlelight:tomato_mozzarella_block","#000000","0"
"candlelight:typewriter_copper","#A7A7A7","10987431"
"candlelight:typewriter_iron","#A7A7A7","10987431"
"candlelight:warped_big_table","#707070","7368816"
"candlelight:warped_cabinet","#8F7748","9402184"
"candlelight:warped_chair","#8F7748","9402184"
"candlelight:warped_drawer","#8F7748","9402184"
"candlelight:warped_shelf","#8F7748","9402184"
"candlelight:warped_table","#8F7748","9402184"
"candlelight:wine_glass","#000000","0"
"chipped:acacia_barrel","#8F7748","9402184"
"chipped:acacia_crate","#8F7748","9402184"
"chipped:acacia_planks_mosaic","#D87F33","14188339"
"chipped:acacia_planks_panel","#D87F33","14188339"
"chipped:acacia_planks_shavings","#D87F33","14188339"
"chipped:acacia_torch","#000000","0"
"chipped:acacia_wall_torch","#000000","0"
"chipped:ad_astra_ochre_froglight","#F7E9A3","16247203"
"chipped:ad_astra_pearlescent_froglight","#F27FA5","15892389"
"chipped:ad_astra_verdant_froglight","#7FA796","8365974"
"chipped:airy_birch_trapdoor","#F7E9A3","16247203"
"chipped:airy_crimson_trapdoor","#943F61","9715553"
"chipped:airy_dark_oak_trapdoor","#664C33","6704179"
"chipped:airy_jungle_trapdoor","#976D4D","9923917"
"chipped:airy_mangrove_trapdoor","#993333","10040115"
"chipped:airy_oak_trapdoor","#8F7748","9402184"
"chipped:airy_spruce_trapdoor","#815631","8476209"
"chipped:airy_warped_trapdoor","#3A8E8C","3837580"
"chipped:alchemy_bench","#8F7748","9402184"
"chipped:amethyst_block_bricks","#7F3FB2","8339378"
"chipped:amethyst_block_mini_tiles","#7F3FB2","8339378"
"chipped:amethyst_block_pillar","#7F3FB2","8339378"
"chipped:amethyst_block_pillar_top","#7F3FB2","8339378"
"chipped:amethyst_block_scales","#7F3FB2","8339378"
"chipped:ancient_cubed_oak_bookshelf","#8F7748","9402184"
"chipped:ancient_debris_bricks","#191919","1644825"
"chipped:ancient_debris_mini_tiles","#191919","1644825"
"chipped:ancient_debris_pillar","#191919","1644825"
"chipped:ancient_debris_pillar_top","#191919","1644825"
"chipped:ancient_debris_scales","#191919","1644825"
"chipped:ancient_diamond_block","#5CDBD5","6085589"
"chipped:ancient_emerald_block","#00D93A","55610"
"chipped:ancient_gold_block","#FAEE4D","16445005"
"chipped:ancient_iron_block","#A7A7A7","10987431"
"chipped:ancient_oak_bookshelf","#8F7748","9402184"
"chipped:ancient_oak_large_bookshelf","#8F7748","9402184"
"chipped:ancient_ochre_froglight","#F7E9A3","16247203"
"chipped:ancient_pearlescent_froglight","#F27FA5","15892389"
"chipped:ancient_verdant_froglight","#7FA796","8365974"
"chipped:ancient_vertical_oak_bookshelf","#8F7748","9402184"
"chipped:ancient_waxed_copper_block","#D87F33","14188339"
"chipped:ancient_waxed_exposed_copper","#876B62","8874850"
"chipped:ancient_waxed_oxidized_copper","#167E86","1474182"
"chipped:ancient_waxed_weathered_copper","#3A8E8C","3837580"
"chipped:andesite_bricks","#707070","7368816"
"chipped:andesite_gravel","#707070","7368816"
"chipped:andesite_mini_tiles","#707070","7368816"
"chipped:andesite_pillar","#707070","7368816"
"chipped:andesite_pillar_top","#707070","7368816"
"chipped:andesite_pointed_dripstone","#4C3223","4993571"
"chipped:andesite_scales","#707070","7368816"
"chipped:angled_mud_bricks","#575C5C","5725276"
"chipped:angled_mud_bricks_bricks","#876B62","8874850"
"chipped:angled_packed_mud_bricks","#976D4D","9923917"
"chipped:angry_amethyst_block","#7F3FB2","8339378"
"chipped:angry_ancient_debris","#191919","1644825"
"chipped:angry_andesite","#707070","7368816"
"chipped:angry_basalt","#191919","1644825"
"chipped:angry_blackstone","#191919","1644825"
"chipped:angry_blue_ice","#A0A0FF","10526975"
"chipped:angry_borderless_bricks","#993333","10040115"
"chipped:angry_bricks","#993333","10040115"
"chipped:angry_calcite","#D1B1A1","13742497"
"chipped:angry_clay","#A4A8B8","10791096"
"chipped:angry_coal_block","#191919","1644825"
"chipped:angry_cobblestone","#707070","7368816"
"chipped:angry_crying_obsidian","#191919","1644825"
"chipped:angry_dark_prismarine","#5CDBD5","6085589"
"chipped:angry_deepslate","#646464","6579300"
"chipped:angry_diorite","#FFFCF5","16776437"
"chipped:angry_dirt","#976D4D","9923917"
"chipped:angry_dripstone_block","#4C3223","4993571"
"chipped:angry_end_stone","#F7E9A3","16247203"
"chipped:angry_gilded_blackstone","#191919","1644825"
"chipped:angry_granite","#976D4D","9923917"
"chipped:angry_ice","#A0A0FF","10526975"
"chipped:angry_lapis_block","#4A80FF","4882687"
"chipped:angry_lodestone","#A7A7A7","10987431"
"chipped:angry_magma_block","#700200","7340544"
"chipped:angry_mossy_cobblestone","#707070","7368816"
"chipped:angry_mossy_stone_bricks","#707070","7368816"
"chipped:angry_mud","#575C5C","5725276"
"chipped:angry_mud_bricks","#876B62","8874850"
"chipped:angry_nether_bricks","#700200","7340544"
"chipped:angry_netherrack","#700200","7340544"
"chipped:angry_obsidian","#191919","1644825"
"chipped:angry_packed_ice","#A0A0FF","10526975"
"chipped:angry_packed_mud","#976D4D","9923917"
"chipped:angry_prismarine","#4C7F99","5013401"
"chipped:angry_purpur_block","#B24CD8","11685080"
"chipped:angry_quartz_block","#FFFCF5","16776437"
"chipped:angry_raw_copper_block","#D87F33","14188339"
"chipped:angry_raw_gold_block","#FAEE4D","16445005"
"chipped:angry_raw_iron_block","#D8AF93","14200723"
"chipped:angry_red_nether_bricks","#700200","7340544"
"chipped:angry_red_sandstone","#D87F33","14188339"
"chipped:angry_redstone_block","#FF0000","16711680"
"chipped:angry_sandstone","#F7E9A3","16247203"
"chipped:angry_smooth_stone","#707070","7368816"
"chipped:angry_snow_block","#FFFFFF","16777215"
"chipped:angry_stone","#707070","7368816"
"chipped:angry_tuff","#392923","3746083"
"chipped:anguished_carved_pumpkin","#D87F33","14188339"
"chipped:anguished_jack_o_lantern","#D87F33","14188339"
"chipped:antique_hay_block","#E5E533","15066419"
"chipped:apple_acacia_leaves","#007C00","31744"
"chipped:apple_birch_leaves","#007C00","31744"
"chipped:apple_dark_oak_leaves","#007C00","31744"
"chipped:apple_jungle_leaves","#007C00","31744"
"chipped:apple_oak_leaves","#007C00","31744"
"chipped:apple_spruce_leaves","#007C00","31744"
"chipped:arched_black_stained_glass_pane_pillar","#000000","0"
"chipped:arched_black_stained_glass_pillar","#191919","1644825"
"chipped:arched_blue_stained_glass_pane_pillar","#000000","0"
"chipped:arched_blue_stained_glass_pillar","#334CB2","3361970"
"chipped:arched_brown_stained_glass_pane_pillar","#000000","0"
"chipped:arched_brown_stained_glass_pillar","#664C33","6704179"
"chipped:arched_cyan_stained_glass_pane_pillar","#000000","0"
"chipped:arched_cyan_stained_glass_pillar","#4C7F99","5013401"
"chipped:arched_gray_stained_glass_pane_pillar","#000000","0"
"chipped:arched_gray_stained_glass_pillar","#4C4C4C","5000268"
"chipped:arched_green_stained_glass_pane_pillar","#000000","0"
"chipped:arched_green_stained_glass_pillar","#667F33","6717235"
"chipped:arched_leaded_glass_pane_pillar","#000000","0"
"chipped:arched_leaded_glass_pillar","#000000","0"
"chipped:arched_light_blue_stained_glass_pane_pillar","#000000","0"
"chipped:arched_light_blue_stained_glass_pillar","#6699D8","6724056"
"chipped:arched_light_gray_stained_glass_pane_pillar","#000000","0"
"chipped:arched_light_gray_stained_glass_pillar","#999999","10066329"
"chipped:arched_lime_stained_glass_pane_pillar","#000000","0"
"chipped:arched_lime_stained_glass_pillar","#7FCC19","8375321"
"chipped:arched_magenta_stained_glass_pane_pillar","#000000","0"
"chipped:arched_magenta_stained_glass_pillar","#B24CD8","11685080"
"chipped:arched_orange_stained_glass_pane_pillar","#000000","0"
"chipped:arched_orange_stained_glass_pillar","#D87F33","14188339"
"chipped:arched_pink_stained_glass_pane_pillar","#000000","0"
"chipped:arched_pink_stained_glass_pillar","#F27FA5","15892389"
"chipped:arched_purple_stained_glass_pane_pillar","#000000","0"
"chipped:arched_purple_stained_glass_pillar","#7F3FB2","8339378"
"chipped:arched_red_stained_glass_pane_pillar","#000000","0"
"chipped:arched_red_stained_glass_pillar","#993333","10040115"
"chipped:arched_white_stained_glass_pane_pillar","#000000","0"
"chipped:arched_white_stained_glass_pillar","#FFFFFF","16777215"
"chipped:arched_yellow_stained_glass_pane_pillar","#000000","0"
"chipped:arched_yellow_stained_glass_pillar","#E5E533","15066419"
"chipped:arrow_mud","#575C5C","5725276"
"chipped:arrow_mud_bricks","#876B62","8874850"
"chipped:arrow_packed_mud","#976D4D","9923917"
"chipped:ash_sand","#F7E9A3","16247203"
"chipped:autumnkin","#D87F33","14188339"
"chipped:bad_time_carved_pumpkin","#D87F33","14188339"
"chipped:bad_time_jack_o_lantern","#D87F33","14188339"
"chipped:bamboo_barrel","#8F7748","9402184"
"chipped:bamboo_dried_kelp_block","#667F33","6717235"
"chipped:bamboo_planks_fine_mosaic","#E5E533","15066419"
"chipped:bamboo_planks_panel","#E5E533","15066419"
"chipped:bamboo_planks_shavings","#E5E533","15066419"
"chipped:barbed_iron_bars","#000000","0"
"chipped:barky_black_carpet","#191919","1644825"
"chipped:barky_black_wool","#191919","1644825"
"chipped:barky_blue_carpet","#334CB2","3361970"
"chipped:barky_blue_wool","#334CB2","3361970"
"chipped:barky_brown_carpet","#664C33","6704179"
"chipped:barky_brown_wool","#664C33","6704179"
"chipped:barky_cyan_carpet","#4C7F99","5013401"
"chipped:barky_cyan_wool","#4C7F99","5013401"
"chipped:barky_gray_carpet","#4C4C4C","5000268"
"chipped:barky_gray_wool","#4C4C4C","5000268"
"chipped:barky_green_carpet","#667F33","6717235"
"chipped:barky_green_wool","#667F33","6717235"
"chipped:barky_light_blue_carpet","#6699D8","6724056"
"chipped:barky_light_blue_wool","#6699D8","6724056"
"chipped:barky_light_gray_carpet","#999999","10066329"
"chipped:barky_light_gray_wool","#999999","10066329"
"chipped:barky_lime_carpet","#7FCC19","8375321"
"chipped:barky_lime_wool","#7FCC19","8375321"
"chipped:barky_magenta_carpet","#B24CD8","11685080"
"chipped:barky_magenta_wool","#B24CD8","11685080"
"chipped:barky_orange_carpet","#D87F33","14188339"
"chipped:barky_orange_wool","#D87F33","14188339"
"chipped:barky_pink_carpet","#F27FA5","15892389"
"chipped:barky_pink_wool","#F27FA5","15892389"
"chipped:barky_purple_carpet","#7F3FB2","8339378"
"chipped:barky_purple_wool","#7F3FB2","8339378"
"chipped:barky_red_carpet","#993333","10040115"
"chipped:barky_red_wool","#993333","10040115"
"chipped:barky_white_carpet","#FFFFFF","16777215"
"chipped:barky_white_wool","#FFFFFF","16777215"
"chipped:barky_yellow_carpet","#E5E533","15066419"
"chipped:barky_yellow_wool","#E5E533","15066419"
"chipped:barred_acacia_trapdoor","#D87F33","14188339"
"chipped:barred_bamboo_door","#E5E533","15066419"
"chipped:barred_bamboo_trapdoor","#E5E533","15066419"
"chipped:barred_birch_door","#F7E9A3","16247203"
"chipped:barred_birch_trapdoor","#F7E9A3","16247203"
"chipped:barred_cherry_door","#D1B1A1","13742497"
"chipped:barred_cherry_trapdoor","#D1B1A1","13742497"
"chipped:barred_crimson_door","#943F61","9715553"
"chipped:barred_crimson_trapdoor","#943F61","9715553"
"chipped:barred_dark_oak_door","#664C33","6704179"
"chipped:barred_dark_oak_trapdoor","#664C33","6704179"
"chipped:barred_jungle_door","#976D4D","9923917"
"chipped:barred_jungle_trapdoor","#976D4D","9923917"
"chipped:barred_mangrove_door","#993333","10040115"
"chipped:barred_mangrove_trapdoor","#993333","10040115"
"chipped:barred_oak_door","#8F7748","9402184"
"chipped:barred_oak_trapdoor","#8F7748","9402184"
"chipped:barred_ochre_froglight","#F7E9A3","16247203"
"chipped:barred_pearlescent_froglight","#F27FA5","15892389"
"chipped:barred_spruce_door","#815631","8476209"
"chipped:barred_spruce_trapdoor","#815631","8476209"
"chipped:barred_verdant_froglight","#7FA796","8365974"
"chipped:barred_warped_door","#3A8E8C","3837580"
"chipped:barred_warped_trapdoor","#3A8E8C","3837580"
"chipped:basalt_bricks","#191919","1644825"
"chipped:basalt_mini_tiles","#191919","1644825"
"chipped:basalt_pillar","#191919","1644825"
"chipped:basalt_pillar_top","#191919","1644825"
"chipped:basalt_pointed_dripstone","#4C3223","4993571"
"chipped:basalt_scales","#191919","1644825"
"chipped:basket_woven_acacia_planks","#D87F33","14188339"
"chipped:basket_woven_bamboo_planks","#E5E533","15066419"
"chipped:basket_woven_birch_planks","#F7E9A3","16247203"
"chipped:basket_woven_cherry_planks","#D1B1A1","13742497"
"chipped:basket_woven_crimson_planks","#943F61","9715553"
"chipped:basket_woven_dark_oak_planks","#664C33","6704179"
"chipped:basket_woven_jungle_planks","#976D4D","9923917"
"chipped:basket_woven_mangrove_planks","#993333","10040115"
"chipped:basket_woven_oak_planks","#8F7748","9402184"
"chipped:basket_woven_spruce_planks","#815631","8476209"
"chipped:basket_woven_warped_planks","#3A8E8C","3837580"
"chipped:beach_acacia_door","#D87F33","14188339"
"chipped:beach_bamboo_door","#E5E533","15066419"
"chipped:beach_birch_door","#F7E9A3","16247203"
"chipped:beach_cherry_door","#D1B1A1","13742497"
"chipped:beach_crimson_door","#943F61","9715553"
"chipped:beach_dark_oak_door","#664C33","6704179"
"chipped:beach_mangrove_door","#993333","10040115"
"chipped:beach_oak_door","#8F7748","9402184"
"chipped:beach_spruce_door","#815631","8476209"
"chipped:beach_warped_door","#3A8E8C","3837580"
"chipped:big_flower_lily_pad","#007C00","31744"
"chipped:big_lantern","#A7A7A7","10987431"
"chipped:big_soul_lantern","#A7A7A7","10987431"
"chipped:birch_barrel","#8F7748","9402184"
"chipped:birch_crate","#8F7748","9402184"
"chipped:birch_planks_mosaic","#F7E9A3","16247203"
"chipped:birch_planks_panel","#F7E9A3","16247203"
"chipped:birch_planks_shavings","#F7E9A3","16247203"
"chipped:birch_torch","#000000","0"
"chipped:birch_wall_torch","#000000","0"
"chipped:black_concrete_bricks","#191919","1644825"
"chipped:black_concrete_panel","#191919","1644825"
"chipped:black_concrete_pillar","#191919","1644825"
"chipped:black_concrete_tiles","#191919","1644825"
"chipped:black_glazed_terracotta_pillar_sides","#191919","1644825"
"chipped:black_glazed_terracotta_pillar_top","#191919","1644825"
"chipped:black_glazed_terracotta_smooth_tiles","#191919","1644825"
"chipped:black_glazed_terracotta_tiles","#191919","1644825"
"chipped:black_terracotta_bricks","#251610","2430480"
"chipped:black_terracotta_column","#251610","2430480"
"chipped:black_terracotta_pillar","#251610","2430480"
"chipped:black_terracotta_tile","#251610","2430480"
"chipped:black_terracotta_tiles","#251610","2430480"
"chipped:blackstone_mini_tiles","#191919","1644825"
"chipped:blackstone_pillar","#191919","1644825"
"chipped:blackstone_pillar_top","#191919","1644825"
"chipped:blackstone_pointed_dripstone","#4C3223","4993571"
"chipped:blackstone_scales","#191919","1644825"
"chipped:blank_amethyst_block_carving","#7F3FB2","8339378"
"chipped:blank_ancient_debris_carving","#191919","1644825"
"chipped:blank_andesite_carving","#707070","7368816"
"chipped:blank_basalt_carving","#191919","1644825"
"chipped:blank_blackstone_carving","#191919","1644825"
"chipped:blank_blue_ice_carving","#A0A0FF","10526975"
"chipped:blank_borderless_bricks_carving","#993333","10040115"
"chipped:blank_bricks_carving","#993333","10040115"
"chipped:blank_calcite_carving","#D1B1A1","13742497"
"chipped:blank_clay_carving","#A4A8B8","10791096"
"chipped:blank_coal_block_carving","#191919","1644825"
"chipped:blank_cobblestone_carving","#707070","7368816"
"chipped:blank_crying_obsidian_carving","#191919","1644825"
"chipped:blank_dark_prismarine_carving","#5CDBD5","6085589"
"chipped:blank_deepslate_carving","#646464","6579300"
"chipped:blank_diorite_carving","#FFFCF5","16776437"
"chipped:blank_dirt_carving","#976D4D","9923917"
"chipped:blank_dripstone_block_carving","#4C3223","4993571"
"chipped:blank_end_stone_carving","#F7E9A3","16247203"
"chipped:blank_gilded_blackstone_carving","#191919","1644825"
"chipped:blank_granite_carving","#976D4D","9923917"
"chipped:blank_ice_carving","#A0A0FF","10526975"
"chipped:blank_lapis_block_carving","#4A80FF","4882687"
"chipped:blank_lodestone_carving","#A7A7A7","10987431"
"chipped:blank_lodestone_side","#A7A7A7","10987431"
"chipped:blank_magma_block_carving","#700200","7340544"
"chipped:blank_mossy_cobblestone_carving","#707070","7368816"
"chipped:blank_mossy_stone_bricks_carving","#707070","7368816"
"chipped:blank_nether_bricks_carving","#700200","7340544"
"chipped:blank_netherrack_carving","#700200","7340544"
"chipped:blank_obsidian_carving","#191919","1644825"
"chipped:blank_packed_ice_carving","#A0A0FF","10526975"
"chipped:blank_prismarine_carving","#4C7F99","5013401"
"chipped:blank_purpur_block_carving","#B24CD8","11685080"
"chipped:blank_quartz_block_carving","#FFFCF5","16776437"
"chipped:blank_raw_copper_block_carving","#D87F33","14188339"
"chipped:blank_raw_gold_block_carving","#FAEE4D","16445005"
"chipped:blank_raw_iron_block_carving","#D8AF93","14200723"
"chipped:blank_red_nether_bricks_carving","#700200","7340544"
"chipped:blank_red_sandstone_carving","#D87F33","14188339"
"chipped:blank_redstone_block_carving","#FF0000","16711680"
"chipped:blank_sandstone_carving","#F7E9A3","16247203"
"chipped:blank_smooth_stone_carving","#707070","7368816"
"chipped:blank_snow_block_carving","#FFFFFF","16777215"
"chipped:blank_stone_carving","#707070","7368816"
"chipped:blank_tuff_carving","#392923","3746083"
"chipped:blobby_moss_block","#667F33","6717235"
"chipped:blocky_black_carpet","#191919","1644825"
"chipped:blocky_black_wool","#191919","1644825"
"chipped:blocky_blue_carpet","#334CB2","3361970"
"chipped:blocky_blue_wool","#334CB2","3361970"
"chipped:blocky_brown_carpet","#664C33","6704179"
"chipped:blocky_brown_wool","#664C33","6704179"
"chipped:blocky_cyan_carpet","#4C7F99","5013401"
"chipped:blocky_cyan_wool","#4C7F99","5013401"
"chipped:blocky_gray_carpet","#4C4C4C","5000268"
"chipped:blocky_gray_wool","#4C4C4C","5000268"
"chipped:blocky_green_carpet","#667F33","6717235"
"chipped:blocky_green_wool","#667F33","6717235"
"chipped:blocky_light_blue_carpet","#6699D8","6724056"
"chipped:blocky_light_blue_wool","#6699D8","6724056"
"chipped:blocky_light_gray_carpet","#999999","10066329"
"chipped:blocky_light_gray_wool","#999999","10066329"
"chipped:blocky_lime_carpet","#7FCC19","8375321"
"chipped:blocky_lime_wool","#7FCC19","8375321"
"chipped:blocky_magenta_carpet","#B24CD8","11685080"
"chipped:blocky_magenta_wool","#B24CD8","11685080"
"chipped:blocky_orange_carpet","#D87F33","14188339"
"chipped:blocky_orange_wool","#D87F33","14188339"
"chipped:blocky_pink_carpet","#F27FA5","15892389"
"chipped:blocky_pink_wool","#F27FA5","15892389"
"chipped:blocky_purple_carpet","#7F3FB2","8339378"
"chipped:blocky_purple_wool","#7F3FB2","8339378"
"chipped:blocky_red_carpet","#993333","10040115"
"chipped:blocky_red_wool","#993333","10040115"
"chipped:blocky_white_carpet","#FFFFFF","16777215"
"chipped:blocky_white_wool","#FFFFFF","16777215"
"chipped:blocky_yellow_carpet","#E5E533","15066419"
"chipped:blocky_yellow_wool","#E5E533","15066419"
"chipped:bloomed_warped_roots","#4C7F99","5013401"
"chipped:blooming_mushroom_stem","#C7C7C7","13092807"
"chipped:blue_concrete_bricks","#334CB2","3361970"
"chipped:blue_concrete_panel","#334CB2","3361970"
"chipped:blue_concrete_pillar","#334CB2","3361970"
"chipped:blue_concrete_tiles","#334CB2","3361970"
"chipped:blue_dried_kelp_block","#667F33","6717235"
