"ID","Registry name","Fog Color","Sky Color","Water Color","Water Fog Color","Grass Color","Foliage Color"
137,"minecraft:nether_wastes","0x00330808 (3344392)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
138,"minecraft:ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
139,"betternether:old_fungiwoods","0xFFA6265F (-5888417)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
140,"minecraft:old_growth_birch_forest","0x00C0D8FF (12638463)","0x007AA5FF (8037887)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF92B95F (  -7161505)","0xFF69AC3C (  -9851844)"
141,"minecraft:old_growth_pine_taiga","0x00C0D8FF (12638463)","0x007CA3FF (8168447)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8FB576 (  -7359114)","0xFF67A75D (  -9984163)"
142,"minecraft:old_growth_spruce_taiga","0x00C0D8FF (12638463)","0x007DA3FF (8233983)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8EB379 (  -7425159)","0xFF66A662 ( -10049950)"
143,"still_life:old_growth_temperate_forest","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x00849F55 (   8691541)","0x006FA14D (   7315789)"
144,"still_life:old_growth_tropical_rainforest","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x0076A13D (   7774525)","0x00719C36 (   7445558)"
145,"betternether:old_swampland","0xFF89134E (-7793842)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
146,"betternether:old_warped_woods","0xFF1A051A (-15071974)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
147,"betterend:painted_mountains","0xFFE2EFA8 (-1904728)","0x00000000 (0)","0xFFC0B483 (-4148093)","0xFFC0B483 (-4148093)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
148,"still_life:pine_woods","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x00779955 (   7838037)","0x0076A052 (   7774290)"
149,"galosphere:pink_salt_caves","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
150,"minecraft:plains","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF9ABC53 (  -6636461)","0xFF77AF2B (  -8933589)"
151,"betternether:poor_nether_grasslands","0xFF714985 (-9352827)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
152,"incendium:quartz_flats","0x00D1BFC8 (13746120)","0x00C2C2D0 (12763856)","0x003F76E4 (4159204)","0x00423E42 (4341314)","0x0076FF17 (   7798551)","0x0076FF17 (   7798551)"
153,"minecraft:river","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
154,"minecraft:savanna","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
155,"still_life:savanna_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x0059C0C8 (5882056)","0x00041F33 (270131)","0x00D4D882 (  13949058)","0x00A5BD50 (  10861904)"
156,"still_life:savanna_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00EFC98A (  15714698)","0x00ABAE62 (  11251298)"
157,"minecraft:savanna_plateau","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
158,"still_life:savanna_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00DBCB6E (  14404462)","0x00A5B350 (  10859344)"
159,"still_life:scorched_caves","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
160,"still_life:semiarid_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00F6D389 (  16176009)","0x00B1B374 (  11645812)"
161,"betterend:shadow_forest","0xFF000000 (-16777216)","0x00000000 (0)","0xFF2A2D50 (-14013104)","0xFF2A2D50 (-14013104)","0xFF2D2D2D ( -13816531)","0xFF2D2D2D ( -13816531)"
162,"nullscape:shadowlands","0x00A080A0 (10518688)","0x00000000 (0)","0x009883D5 (9995221)","0x00050533 (329011)","0x00A388D8 (  10717400)","0x004599D9 (   4561369)"
163,"still_life:shrub_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00C5BD7D (  12959101)","0x00A5A689 (  10856073)"
164,"minecraft:small_end_islands","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
165,"still_life:snowy_barren_peaks","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C1B17B (  12693883)","0x00A5A689 (  10856073)"
166,"minecraft:snowy_beach","0x00C0D8FF (12638463)","0x007FA1FF (8364543)","0x003D57D6 (4020182)","0x00050533 (329011)","0xFF8DB289 (  -7490935)","0xFF62A477 ( -10312585)"
167,"still_life:snowy_boreal_alpine_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x00B6A673 (  11970163)","0x00A1A155 (  10592597)"
168,"still_life:snowy_peaks","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00788050 (7897168)","0x0026291A (2500890)","0x00C1B17B (  12693883)","0x00A5A689 (  10856073)"
169,"minecraft:snowy_plains","0x00C0D8FF (12638463)","0x007FA1FF (8364543)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
170,"minecraft:snowy_slopes","0x00C0D8FF (12638463)","0x00829FFF (8560639)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
171,"minecraft:snowy_taiga","0x00C0D8FF (12638463)","0x00839EFF (8625919)","0x003D57D6 (4020182)","0x00050533 (329011)","0xFF8AB18D (  -7687795)","0xFF5EA37B ( -10574981)"
172,"still_life:snowy_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00B48F73 (  11833203)","0x00A5B350 (  10859344)"
173,"betternether:soul_plain","0xFFC471EF (-3902993)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
174,"minecraft:soul_sand_valley","0x001B4745 (1787717)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
175,"minecraft:sparse_jungle","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF70C637 (  -9386441)","0xFF3BBD09 ( -12862199)"
176,"ae2:spatial_storage","0x00000000 (0)","0x00111111 (1118481)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
177,"still_life:steppe_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00627A7B (6453883)","0x000E181C (923676)","0x00C5C476 (  12960886)","0x00A5A689 (  10856073)"
178,"minecraft:stony_peaks","0x00C0D8FF (12638463)","0x0076A8FF (7776511)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFA2BD45 (  -6111931)","0xFF83B019 (  -8146919)"
179,"minecraft:stony_shore","0x00C0D8FF (12638463)","0x007DA2FF (8233727)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF93B37F (  -7097473)","0xFF6BA469 (  -9722775)"
180,"still_life:subtropical_deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x004588BD (4556989)","0x00041633 (267827)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
181,"still_life:subtropical_shallow_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x004588BD (4556989)","0x00041633 (267827)","0x008AAB43 (   9087811)","0x00719C36 (   7445558)"
182,"betternether:sulfuric_bone_reef","0xFF9A9031 (-6647759)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
183,"betterend:sulphur_springs","0xFFCFC23E (-3161538)","0x00000000 (0)","0xFF195A9D (-15115619)","0xFF1E413D (-14794435)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
184,"minecraft:sunflower_plains","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF9ABC53 (  -6636461)","0xFF77AF2B (  -8933589)"
185,"minecraft:swamp","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x00617B64 (6388580)","0x00232317 (2302743)","0x006A7039 (   6975545)","0x006A7039 (   6975545)"
186,"minecraft:taiga","0x00C0D8FF (12638463)","0x007DA3FF (8233983)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF8EB379 (  -7425159)","0xFF66A662 ( -10049950)"
187,"still_life:taiga_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x00445B77 (4479863)","0x00000C1C (3100)","0x009FB16C (  10465644)","0x00798B46 (   7965510)"
188,"still_life:taiga_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475966 (4675942)","0x000E181C (923676)","0x0098A15F (  10002783)","0x00798B46 (   7965510)"
189,"still_life:temperate_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x004C6B97 (5008279)","0x00000C1C (3100)","0x00A5C06D (  10862701)","0x0082AC5C (   8563804)"
190,"still_life:temperate_deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x004C6B97 (5008279)","0x00000C1C (3100)","0x0096BD60 (   9878880)","0x0082AC5C (   8563804)"
191,"still_life:temperate_forest","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x006FA14D (   7315789)"
192,"still_life:temperate_marsh","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x005B775E (5994334)","0x0026291A (2500890)","0x009FB86F (  10467439)","0x0088AC63 (   8957027)"
193,"still_life:temperate_mixed_forest","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x007C9F55 (   8167253)","0x0076A052 (   7774290)"
194,"still_life:temperate_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0041636A (4285290)","0x000E181C (923676)","0x0084AB55 (   8694613)","0x00638E46 (   6524486)"
195,"still_life:temperate_shallow_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x004C6B97 (5008279)","0x00000C1C (3100)","0x0096BD60 (   9878880)","0x0082AC5C (   8563804)"
196,"still_life:temperate_swamp","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00475F3E (4677438)","0x00203D25 (2112805)","0x005E6D3E (   6188350)","0x0074884E (   7637070)"
197,"minecraft:the_end","0x00A080A0 (10518688)","0x00000000 (0)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
198,"minecraft:the_void","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
199,"incendium:toxic_heap","0x006F7234 (7303732)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
200,"still_life:tropical_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x0059C0C8 (5882056)","0x00041F33 (270131)","0x00A0BC5A (  10533978)","0x00719C36 (   7445558)"
201,"still_life:tropical_deep_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x0045ADF2 (4566514)","0x00041633 (267827)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
202,"still_life:tropical_dry_forest","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00B5B564 (  11908452)","0x00819E2F (   8494639)"
203,"still_life:tropical_highlands","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x00A3C667 (  10733159)","0x007B9C42 (   8100930)"
204,"still_life:tropical_rainforest","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x008BB346 (   9155398)","0x00719C36 (   7445558)"
205,"still_life:tropical_rainforest_river","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x008BB346 (   9155398)","0x00719C36 (   7445558)"
206,"still_life:tropical_shallow_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x0059C0C8 (5882056)","0x00041F33 (270131)","0x008AAB43 (   9087811)","0x00719C36 (   7445558)"
207,"still_life:tropical_wetlands","0x00C0D8FF (12638463)","0x0077A8FF (7842047)","0x0040785D (4225117)","0x000A1B13 (662291)","0x008AAB43 (   9087811)","0x00719C36 (   7445558)"
208,"still_life:tundra_beach","0x00C0D8FF (12638463)","0x0078A7FF (7907327)","0x00445B77 (4479863)","0x00000C1C (3100)","0x00AEA96F (  11446639)","0x00C8B23F (  13152831)"
209,"still_life:tundra_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00AEA96F (  11446639)","0x00B97346 (  12153670)"
210,"betterend:umbra_valley","0xFF646464 (-10197916)","0x00000000 (0)","0xFF456886 (-12228474)","0xFF456886 (-12228474)","0xFFACBDBE (  -5456450)","0xFFACBDBE (  -5456450)"
211,"betterend:umbrella_jungle","0xFF57DFDD (-11018275)","0x00000000 (0)","0xFF77C6FD (-8927491)","0xFF77C6FD (-8927491)","0xFF98B76A (  -6768790)","0xFF1BB7C2 ( -14960702)"
212,"betternether:upside_down_forest","0xFF6FBC6F (-9454481)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
213,"betternether:upside_down_forest_cleared","0xFF6FBC79 (-9454471)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
214,"nullscape:void_barrens","0x00A080A0 (10518688)","0x00000000 (0)","0x009883D5 (9995221)","0x00050533 (329011)","0x00A388D8 (  10717400)","0x004599D9 (   4561369)"
215,"incendium:volcanic_deltas","0x007D5C62 (8215650)","0x006EB1FF (7254527)","0x005D5362 (6116194)","0x00423E42 (4341314)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
216,"minecraft:warm_ocean","0x00C0D8FF (12638463)","0x007BA4FF (8103167)","0x0043D5EE (4445678)","0x00041F33 (270131)","0xFF98B76A (  -6768790)","0xFF70AA4A (  -9393590)"
217,"still_life:warm_temperate_clearings","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00AFBD60 (  11517280)","0x0091AD49 (   9547081)"
218,"still_life:warm_temperate_river","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00AFBD60 (  11517280)","0x0091AD49 (   9547081)"
219,"still_life:warm_temperate_woodlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00AAB660 (  11187808)","0x0091AD49 (   9547081)"
220,"minecraft:warped_forest","0x001A051A (1705242)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
221,"betternether:wart_forest","0xFF970606 (-6879738)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
222,"betternether:wart_forest_edge","0xFFBF1C1C (-4252644)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
223,"incendium:weeping_valley","0x0033261F (3352095)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
224,"minecraft:windswept_forest","0x00C0D8FF (12638463)","0x007DA2FF (8233727)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF93B37F (  -7097473)","0xFF6BA469 (  -9722775)"
225,"minecraft:windswept_gravelly_hills","0x00C0D8FF (12638463)","0x007DA2FF (8233727)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF93B37F (  -7097473)","0xFF6BA469 (  -9722775)"
226,"minecraft:windswept_hills","0x00C0D8FF (12638463)","0x007DA2FF (8233727)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFF93B37F (  -7097473)","0xFF6BA469 (  -9722775)"
227,"minecraft:windswept_savanna","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0xFFC8B650 (  -3623344)","0xFFB2A726 (  -5069018)"
228,"incendium:withered_forest","0x00211B2A (2169642)","0x00C2C2D0 (12763856)","0x003F76E4 (4159204)","0x00423E42 (4341314)","0xFFC8B650 (  -3623344)","0x007F848C (   8357004)"
229,"minecraft:wooded_badlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x003F76E4 (4159204)","0x00050533 (329011)","0x0090814D (   9470285)","0x009E814D (  10387789)"
230,"still_life:wooded_highlands","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00476C79 (4680825)","0x000E181C (923676)","0x00869561 (   8820065)","0x0092A15C (   9609564)"
231,"still_life:wooded_mediterranean_steppe","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x0047696D (4680045)","0x000E181C (923676)","0x00E1C781 (  14796673)","0x00A39660 (  10720864)"
232,"still_life:wooded_savanna","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00DFD482 (  14668930)","0x00A5B350 (  10859344)"
233,"still_life:wooded_semiarid_desert","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00F6D389 (  16176009)","0x00ABAD5C (  11251036)"
234,"still_life:wooded_tundra","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00324B67 (3296103)","0x001C204E (1843278)","0x00A2A563 (  10659171)","0x00C8B23F (  13152831)"
235,"still_life:xeric_shrubland","0x00C0D8FF (12638463)","0x006EB1FF (7254527)","0x00477375 (4682613)","0x000A1C1E (662558)","0x00FBDF9E (  16506782)","0x00B1B374 (  11645812)"
